Year,Month,Day,Hour,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,GHI
2012,10,28,16,13,28.9368414936,984.4089355469,38.7846697272,347.791015625,0.5512730479,232
2012,10,28,17,15,26.4212825438,984.6452636719,52.4014940273,19.0058135986,0.7769141793,29
2012,10,28,18,14,25.7267518985,985.0228881836,51.1239594908,43.8282966614,1.1008176804,0
2012,10,28,19,13,24.9590947877,985.2927856445,48.6494011914,57.5090103149,1.4388451576,0
2012,10,28,20,13,24.1934604309,985.7078857422,52.4491984461,68.1252746582,1.5461268425,0
2012,10,28,21,13,23.4200019641,985.9501953125,53.1859119844,79.9878845215,1.5112973452,0
2012,10,28,22,13,22.6978086983,986.1228027344,57.2920636714,90.7874908447,1.4152623415,0
2012,10,28,23,13,21.9702847642,985.7550048828,58.9161421192,100.5772094727,1.2686454058,0
2012,10,29,0,14,21.2744481781,985.5985717773,63.7233468464,111.0983810425,1.1019011736,0
2012,10,29,1,13,20.6271582814,985.5457763672,64.5701026845,123.5468978882,0.9351030588,0
2012,10,29,2,13,20.0082658665,985.4786987305,67.7575230389,146.2093200684,0.9629273415,0
2012,10,29,3,12,19.4107247463,985.0315551758,65.8279584571,163.8773193359,1.2164214849,0
2012,10,29,4,12,18.8418937753,984.9747924805,65.0171312595,172.0090942383,1.5414229631,0
2012,10,29,5,11,18.3021547478,985.2136230469,63.9723705862,175.2944030762,1.8415560722,0
2012,10,29,6,11,18.0317239903,985.3455810547,67.4380556907,176.9643249512,2.1142368317,0
2012,10,29,7,13,20.2325896182,985.7809448242,65.4993854186,178.9991912842,2.3396332264,91
2012,10,29,8,13,22.8673201693,986.2615966797,54.9645093377,179.1600189209,2.0406479836,296
2012,10,29,9,15,26.2193445217,986.5233154297,50.7393685086,179.963684082,1.510843277,489
2012,10,29,10,14,30.3976496989,986.2723999023,37.3552354766,196.5408325195,1.4771655798,637
2012,10,29,11,13,32.4600258122,985.7534790039,32.6524321973,205.0156707764,1.2234737873,735
