Year,Month,Day,Hour,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Solar Radiation (GHI),Temp
2011,10,27,14,16,30.3997176594,984.0582885742,42.2557327174,35.402721405,1.9928731918,615,
2011,10,27,15,16,29.5572418406,983.8278198242,44.082854312,34.6583328247,2.0846304893,451,
2011,10,27,16,15,28.2194639535,984.1241455078,46.9763858769,32.9819564819,2.1195960045,233,
2011,10,27,17,16,25.7975068899,984.4274902344,55.0077152663,33.6407737732,2.3334608078,30,
2011,10,27,18,15,24.6619095867,984.5703735352,55.4046781612,37.5178718567,2.605458498,0,
2011,10,27,19,14,23.8145629879,984.8306274414,54.3800840854,43.9110565186,2.7907094955,0,
2011,10,27,20,13,22.975336918,985.2555541992,54.8910209866,53.1230316162,2.8074691296,0,
2011,10,27,21,13,22.1689445031,985.5735473633,56.370645256,63.7265777588,2.7745015621,0,
2011,10,27,22,12,21.4033635267,985.5714111328,58.2713504948,72.2432556152,2.7542014122,0,
2011,10,27,23,12,20.7178044727,985.512878418,60.1297872493,77.4842681885,2.7001917362,0,
2011,10,28,0,12,20.0747210549,985.4945678711,61.7847562111,80.543510437,2.6711816788,0,
2011,10,28,1,12,19.5012073705,985.1013183594,63.1820124713,82.4584121704,2.6729502678,0,
2011,10,28,2,12,18.9896356128,984.8295288086,64.6933495009,85.0291595459,2.5981280804,0,
2011,10,28,3,12,18.5635412406,984.8204345703,66.1249552089,87.8978118896,2.544752121,0,
2011,10,28,4,11,18.1659293685,985.076171875,67.1406948512,91.7401657104,2.5569431782,0,
2011,10,28,5,11,17.7926529302,985.3853149414,68.0705487476,97.1267776489,2.6417033672,0,
2011,10,28,6,11,17.6142945165,986.0767211914,69.1444149159,103.4980545044,2.7499966621,0,
2011,10,28,7,13,19.3149799883,986.533203125,67.5832280921,110.82081604,2.7727508545,92,
2011,10,28,8,13,21.3083008727,987.1373291016,62.5129896159,112.9320068359,2.4259552956,303,
2011,10,28,9,16,24.2000949026,986.8966674805,61.5073909352,110.6663589478,2.050668478,494,
2011,10,28,10,16,27.6900994458,986.3588256836,50.8605214876,112.4351196289,2.1429553032,641,
2011,10,28,11,16,29.8898756037,985.4732055664,43.6215785887,115.3124847412,2.0396139622,733,
2011,10,28,12,17,30.9402855237,984.530456543,44.1823756077,114.2672576904,1.6721857786,764,
